ACC,PREC,REC,EPC,F1,AUC,DATASETNAME,ERRTYPE,ERRPERC,FEATTYPE,FEATNAME,MODELNAME,MODELTYPE
0.7726,0.7194,0.5348,,0.6135,0.2917,Healthcare-Diabetes.csv,DuplicatedAll,0.6,target,Outcome,Linear Discriminant Analysis,Linear
0.7744,0.7279,0.5294,,0.613,0.0,Healthcare-Diabetes.csv,DuplicatedAll,0.6,target,Outcome,Ridge Classifier,Linear
0.7671,0.7101,0.5241,,0.6031,0.2904,Healthcare-Diabetes.csv,DuplicatedAll,0.6,target,Outcome,Logistic Regression,Linear
0.7581,0.6568,0.5936,,0.6236,0.3461,Healthcare-Diabetes.csv,DuplicatedAll,0.6,target,Outcome,Gaussian Naive Bayes,Probabilistic
0.7708,0.6974,0.5668,,0.6254,0.3553,Healthcare-Diabetes.csv,DuplicatedAll,0.6,target,Outcome,Quadratic Discriminant Analysis,Probabilistic
0.6697,0.5115,0.4759,,0.4931,0.4122,Healthcare-Diabetes.csv,DuplicatedAll,0.6,target,Outcome,MLP Classifier,Neural Networks
0.6625,0.0,0.0,,0.0,0.5,Healthcare-Diabetes.csv,DuplicatedAll,0.6,target,Outcome,Dummy Classifier,Heuristic based
0.3718,0.349,0.9947,0.7552,0.5167,0.0,Healthcare-Diabetes.csv,DuplicatedAll,0.6,target,Outcome,SGD Classifier,Linear
0.9783,0.9581,0.9786,,0.9683,0.2986,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Extra Tree Classifier,Single Tree
0.9765,0.9677,0.9626,,0.9651,0.2913,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Random Forest Classifier,Ensemble Tree
0.9513,0.9348,0.9198,,0.9272,0.2748,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Cat Boost Classifier,Ensemble Tree
0.9639,0.9514,0.9412,0.0,0.9462,0.5,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Decision Tree Classifier,Single Tree
0.87,0.8485,0.7487,,0.7955,0.267,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Gradient Boosting Classifier,Ensemble Tree
0.8032,0.7438,0.6364,,0.6859,0.3186,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Ada Boost Classifier,Ensemble Tree
0.6625,0.0,0.0,,0.0,0.5027,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Support Vector Machine,Linear
0.6931,0.557,0.4439,0.0,0.494,0.3875,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,K-Neighborg Classifier,Neighborg based
0.6733,0.5268,0.3155,,0.3946,0.5,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Gaussian Process Classifier,Probabilistic
0.7798,0.7481,0.5241,,0.6164,0.2796,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Linear Discriminant Analysis,Linear
0.7671,0.7231,0.5027,,0.5931,0.2825,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Logistic Regression,Linear
0.7762,0.752,0.5027,,0.6026,0.0,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Ridge Classifier,Linear
0.7527,0.6524,0.5722,,0.6097,0.3329,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Gaussian Naive Bayes,Probabilistic
0.7798,0.7338,0.5455,,0.6258,0.3384,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Quadratic Discriminant Analysis,Probabilistic
0.4639,0.369,0.8289,,0.5107,0.658,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,MLP Classifier,Neural Networks
0.6625,0.0,0.0,,0.0,0.5,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,Dummy Classifier,Heuristic based
0.3466,0.34,0.9947,0.8661,0.5068,0.0,Healthcare-Diabetes.csv,DuplicatedAll,0.8,target,Outcome,SGD Classifier,Linear
0.8141,0.7,0.7861,,0.7406,0.4287,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Random Forest Classifier,Ensemble Tree
0.7978,0.6712,0.7861,,0.7241,0.4596,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Extra Tree Classifier,Single Tree
0.8249,0.7528,0.7166,,0.7342,0.368,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Cat Boost Classifier,Ensemble Tree
0.7852,0.7394,0.5615,,0.6383,0.0,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Ridge Classifier,Linear
0.8087,0.7368,0.6738,,0.7039,0.3345,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Gradient Boosting Classifier,Ensemble Tree
0.787,0.7447,0.5615,,0.6402,0.2978,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Logistic Regression,Linear
0.7834,0.7343,0.5615,,0.6364,0.2961,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Linear Discriminant Analysis,Linear
0.7563,0.6494,0.6043,,0.626,0.3459,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Ada Boost Classifier,Ensemble Tree
0.7599,0.65,0.6257,,0.6376,0.3618,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Gaussian Naive Bayes,Probabilistic
0.7437,0.5991,0.7273,1.0,0.657,0.5,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Decision Tree Classifier,Single Tree
0.7527,0.6645,0.5401,,0.5959,0.3852,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Quadratic Discriminant Analysis,Probabilistic
0.6625,0.0,0.0,,0.0,0.4946,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Support Vector Machine,Linear
0.6625,0.0,0.0,,0.0,0.5,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Dummy Classifier,Heuristic based
0.657,0.4911,0.4439,1.0,0.4663,0.4199,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,K-Neighborg Classifier,Neighborg based
0.6895,0.5524,0.4225,0.0,0.4788,0.0,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,SGD Classifier,Linear
0.6588,0.4792,0.123,,0.1957,0.3648,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,MLP Classifier,Neural Networks
0.6029,0.3759,0.2674,,0.3125,0.5,Healthcare-Diabetes.csv,Labels,0.2,target,Outcome,Gaussian Process Classifier,Probabilistic
0.7653,0.6815,0.5722,0.866,0.6221,0.0,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Ridge Classifier,Linear
0.7653,0.6815,0.5722,0.9243,0.6221,0.3954,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Logistic Regression,Linear
0.7653,0.6815,0.5722,0.9817,0.6221,0.3941,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Linear Discriminant Analysis,Linear
0.6787,0.5197,0.6364,0.9971,0.5721,0.4486,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Cat Boost Classifier,Ensemble Tree
0.7202,0.586,0.5829,0.95,0.5845,0.4129,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Gaussian Naive Bayes,Probabilistic
0.6444,0.4795,0.6257,0.9997,0.5429,0.4427,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Extra Tree Classifier,Single Tree
0.6588,0.4958,0.6257,0.9999,0.5532,0.4821,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Random Forest Classifier,Ensemble Tree
0.7238,0.5988,0.5508,0.9988,0.5738,0.3805,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Quadratic Discriminant Analysis,Probabilistic
0.6625,0.0,0.0,,0.0,0.496,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Support Vector Machine,Linear
0.6625,0.0,0.0,,0.0,0.5,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Dummy Classifier,Heuristic based
0.7022,0.5561,0.5829,,0.5692,0.4322,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Ada Boost Classifier,Ensemble Tree
0.3682,0.3442,0.9626,0.8315,0.507,0.0,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,SGD Classifier,Linear
0.6264,0.3864,0.1818,0.9253,0.2473,0.4314,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,MLP Classifier,Neural Networks
0.6859,0.5289,0.6364,0.9869,0.5777,0.4112,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Gradient Boosting Classifier,Ensemble Tree
0.5975,0.4126,0.4545,0.9882,0.4326,0.4828,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,K-Neighborg Classifier,Neighborg based
0.583,0.4134,0.5615,0.9977,0.4762,0.5,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Decision Tree Classifier,Single Tree
0.5704,0.3509,0.3209,0.9794,0.3352,0.5,Healthcare-Diabetes.csv,Labels,0.4,target,Outcome,Gaussian Process Classifier,Probabilistic
0.2852,0.2762,0.6898,0.8001,0.3945,0.2909,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Logistic Regression,Linear
0.2852,0.2753,0.6845,0.802,0.3926,0.2931,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Linear Discriminant Analysis,Linear
0.3375,0.3375,1.0,0.7746,0.5047,0.5027,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Support Vector Machine,Linear
0.2834,0.2747,0.6845,0.7948,0.392,0.0,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Ridge Classifier,Linear
0.3375,0.3375,1.0,0.7746,0.5047,0.5,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Dummy Classifier,Heuristic based
0.2888,0.2406,0.5134,0.8275,0.3276,0.3829,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Gaussian Naive Bayes,Probabilistic
0.3412,0.2608,0.5187,0.8894,0.347,0.4803,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Ada Boost Classifier,Ensemble Tree
0.2996,0.2519,0.5455,0.8409,0.3446,0.4789,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Quadratic Discriminant Analysis,Probabilistic
0.3394,0.279,0.6043,0.9376,0.3818,0.4895,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Gradient Boosting Classifier,Ensemble Tree
0.4386,0.2862,0.4439,0.998,0.348,0.4626,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Extra Tree Classifier,Single Tree
0.4061,0.2585,0.4064,0.9907,0.316,0.4838,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Random Forest Classifier,Ensemble Tree
0.3556,0.33,0.8824,0.8357,0.4803,0.5048,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,MLP Classifier,Neural Networks
0.6408,0.25,0.0321,0.0,0.0569,0.0,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,SGD Classifier,Linear
0.3682,0.2717,0.5187,0.9702,0.3566,0.5078,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Cat Boost Classifier,Ensemble Tree
0.4549,0.3038,0.4759,0.9947,0.3708,0.5,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Decision Tree Classifier,Single Tree
0.4711,0.3323,0.5615,0.96,0.4175,0.4989,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,K-Neighborg Classifier,Neighborg based
0.5,0.2955,0.3476,0.9909,0.3194,0.5,Healthcare-Diabetes.csv,Labels,0.6,target,Outcome,Gaussian Process Classifier,Probabilistic
0.1516,0.1381,0.2888,0.9837,0.1869,0.3681,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Cat Boost Classifier,Ensemble Tree
0.157,0.1465,0.3102,0.969,0.199,0.3649,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Gradient Boosting Classifier,Ensemble Tree
0.1697,0.1066,0.1979,0.9925,0.1386,0.4076,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Random Forest Classifier,Ensemble Tree
0.1877,0.1475,0.2941,0.9463,0.1964,0.3663,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Ada Boost Classifier,Ensemble Tree
0.213,0.2,0.4439,0.8964,0.2757,0.2769,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Linear Discriminant Analysis,Linear
0.2112,0.1981,0.4385,0.8957,0.2729,0.2768,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Logistic Regression,Linear
0.2094,0.199,0.4439,0.893,0.2748,0.0,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Ridge Classifier,Linear
0.1931,0.1084,0.1925,0.9951,0.1387,0.4705,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Extra Tree Classifier,Single Tree
0.2455,0.1984,0.4064,0.9054,0.2667,0.3587,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Gaussian Naive Bayes,Probabilistic
0.231,0.199,0.4225,0.9166,0.2705,0.3844,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Quadratic Discriminant Analysis,Probabilistic
0.3087,0.1957,0.3369,0.996,0.2475,0.5,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Decision Tree Classifier,Single Tree
0.3375,0.3375,1.0,0.866,0.5047,0.5,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Support Vector Machine,Linear
0.3375,0.3375,1.0,0.866,0.5047,0.5,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Dummy Classifier,Heuristic based
0.4242,0.1452,0.1444,0.0,0.1448,0.0,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,SGD Classifier,Linear
0.352,0.276,0.5668,0.9725,0.3713,0.4811,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,K-Neighborg Classifier,Neighborg based
0.3448,0.2944,0.6738,0.904,0.4098,0.4731,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,MLP Classifier,Neural Networks
0.4188,0.2453,0.3476,0.9913,0.2876,0.5,Healthcare-Diabetes.csv,Labels,0.8,target,Outcome,Gaussian Process Classifier,Probabilistic
0.9657,0.9565,0.9412,,0.9488,0.2996,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Extra Tree Classifier,Single Tree
0.9567,0.9405,0.9305,,0.9355,0.2655,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Random Forest Classifier,Ensemble Tree
0.9386,0.9048,0.9144,0.0,0.9096,0.5,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Decision Tree Classifier,Single Tree
0.9296,0.9066,0.8824,,0.8943,0.267,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Cat Boost Classifier,Ensemble Tree
0.8773,0.848,0.7754,,0.8101,0.2758,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Gradient Boosting Classifier,Ensemble Tree
0.8051,0.7453,0.6417,,0.6897,0.3044,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Ada Boost Classifier,Ensemble Tree
0.7653,0.7143,0.508,,0.5938,0.2945,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Logistic Regression,Linear
0.7653,0.7111,0.5134,,0.5963,0.2905,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Linear Discriminant Analysis,Linear
0.7635,0.7154,0.4973,,0.5868,0.0,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Ridge Classifier,Linear
0.7509,0.6485,0.5722,,0.608,0.3545,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Gaussian Naive Bayes,Probabilistic
0.778,0.7192,0.5615,,0.6306,0.3641,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Quadratic Discriminant Analysis,Probabilistic
0.6968,0.5748,0.3904,0.0,0.465,0.3765,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,K-Neighborg Classifier,Neighborg based
0.6625,0.0,0.0,,0.0,0.4973,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Support Vector Machine,Linear
0.6625,0.0,0.0,,0.0,0.5,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Dummy Classifier,Heuristic based
0.6643,0.5152,0.0909,,0.1545,0.3522,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,MLP Classifier,Neural Networks
0.6661,0.5093,0.2941,,0.3729,0.5,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,Gaussian Process Classifier,Probabilistic
0.6606,0.4828,0.0749,0.0,0.1296,0.0,Healthcare-Diabetes.csv,Outlier,0.2,continue,BMI,SGD Classifier,Linear
0.9621,0.9462,0.9412,,0.9437,0.2864,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Extra Tree Classifier,Single Tree
0.9422,0.9379,0.8877,,0.9121,0.2395,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Random Forest Classifier,Ensemble Tree
0.917,0.873,0.8824,0.0,0.8777,0.5,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Decision Tree Classifier,Single Tree
0.9242,0.9006,0.8717,,0.8859,0.2521,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Cat Boost Classifier,Ensemble Tree
0.8628,0.8323,0.7433,,0.7853,0.277,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Gradient Boosting Classifier,Ensemble Tree
0.8051,0.7283,0.6738,,0.7,0.2846,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Ada Boost Classifier,Ensemble Tree
0.7617,0.7037,0.508,,0.5901,0.2936,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Linear Discriminant Analysis,Linear
0.7671,0.7266,0.4973,,0.5905,0.0,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Ridge Classifier,Linear
0.7635,0.7121,0.5027,,0.5893,0.2986,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Logistic Regression,Linear
0.7509,0.6485,0.5722,,0.608,0.3537,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Gaussian Naive Bayes,Probabilistic
0.778,0.7222,0.5561,,0.6284,0.3624,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Quadratic Discriminant Analysis,Probabilistic
0.6895,0.5573,0.3904,0.0,0.4591,0.3644,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,K-Neighborg Classifier,Neighborg based
0.6625,0.0,0.0,,0.0,0.4973,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Support Vector Machine,Linear
0.6625,0.0,0.0,,0.0,0.5,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Dummy Classifier,Heuristic based
0.6733,0.5556,0.1604,,0.249,0.3305,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,MLP Classifier,Neural Networks
0.6679,0.5143,0.2888,,0.3699,0.5,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,Gaussian Process Classifier,Probabilistic
0.6643,0.5135,0.1016,0.866,0.1696,0.0,Healthcare-Diabetes.csv,Outlier,0.4,continue,BMI,SGD Classifier,Linear
0.9477,0.9438,0.8984,,0.9205,0.3027,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Extra Tree Classifier,Single Tree
0.9458,0.9337,0.9037,,0.9185,0.2543,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Random Forest Classifier,Ensemble Tree
0.9116,0.875,0.861,0.0,0.8679,0.5,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Decision Tree Classifier,Single Tree
0.9224,0.9045,0.861,,0.8822,0.258,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Cat Boost Classifier,Ensemble Tree
0.87,0.8402,0.7594,,0.7978,0.2762,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Gradient Boosting Classifier,Ensemble Tree
0.7906,0.7233,0.615,,0.6647,0.3172,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Ada Boost Classifier,Ensemble Tree
0.7599,0.7143,0.4813,,0.5751,0.0,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Ridge Classifier,Linear
0.7635,0.7121,0.5027,,0.5893,0.2994,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Logistic Regression,Linear
0.7635,0.709,0.508,,0.5919,0.2947,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Linear Discriminant Analysis,Linear
0.7527,0.6524,0.5722,,0.6097,0.3564,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Gaussian Naive Bayes,Probabilistic
0.7744,0.7123,0.5561,,0.6246,0.3668,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Quadratic Discriminant Analysis,Probabilistic
0.6895,0.5564,0.3957,0.0,0.4625,0.3649,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,K-Neighborg Classifier,Neighborg based
0.6625,0.0,0.0,,0.0,0.4987,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Support Vector Machine,Linear
0.6625,0.0,0.0,,0.0,0.5,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Dummy Classifier,Heuristic based
0.6931,0.563,0.4064,,0.472,0.393,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,MLP Classifier,Neural Networks
0.6516,0.4681,0.2353,,0.3132,0.5,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,Gaussian Process Classifier,Probabilistic
0.4332,0.3669,0.9358,0.7785,0.5271,0.0,Healthcare-Diabetes.csv,Outlier,0.6,continue,BMI,SGD Classifier,Linear
0.9603,0.9558,0.9251,,0.9402,0.2857,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Extra Tree Classifier,Single Tree
0.9458,0.929,0.9091,,0.9189,0.2384,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Random Forest Classifier,Ensemble Tree
0.9332,0.8989,0.9037,0.0,0.9013,0.5,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Decision Tree Classifier,Single Tree
0.9134,0.9017,0.8342,,0.8667,0.2511,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Cat Boost Classifier,Ensemble Tree
0.8646,0.8333,0.7487,,0.7887,0.2925,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Gradient Boosting Classifier,Ensemble Tree
0.7906,0.7178,0.6257,,0.6686,0.3278,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Ada Boost Classifier,Ensemble Tree
0.7599,0.7109,0.4866,,0.5778,0.0,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Ridge Classifier,Linear
0.7617,0.7099,0.4973,,0.5849,0.2941,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Linear Discriminant Analysis,Linear
0.7599,0.7045,0.4973,,0.5831,0.2989,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Logistic Regression,Linear
0.7509,0.6503,0.5668,,0.6057,0.356,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Gaussian Naive Bayes,Probabilistic
0.7762,0.7203,0.5508,,0.6242,0.3659,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Quadratic Discriminant Analysis,Probabilistic
0.6877,0.5556,0.3743,0.0,0.4473,0.3495,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,K-Neighborg Classifier,Neighborg based
0.6715,0.5225,0.3102,,0.3893,0.3815,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,MLP Classifier,Neural Networks
0.6625,0.0,0.0,,0.0,0.5014,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Support Vector Machine,Linear
0.6625,0.0,0.0,,0.0,0.5,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Dummy Classifier,Heuristic based
0.6354,0.4026,0.1658,,0.2348,0.5,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,Gaussian Process Classifier,Probabilistic
0.3628,0.3434,0.9733,0.8932,0.5077,0.0,Healthcare-Diabetes.csv,Outlier,0.8,continue,BMI,SGD Classifier,Linear
0.9422,0.9235,0.9037,,0.9135,0.2794,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Extra Tree Classifier,Single Tree
0.9332,0.9261,0.8717,,0.8981,0.2406,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Random Forest Classifier,Ensemble Tree
0.9079,0.8778,0.8449,0.0,0.861,0.5,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Decision Tree Classifier,Single Tree
0.8989,0.8876,0.8021,,0.8427,0.265,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Cat Boost Classifier,Ensemble Tree
0.8339,0.795,0.6845,,0.7356,0.2899,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Gradient Boosting Classifier,Ensemble Tree
0.7798,0.6816,0.6524,,0.6667,0.3237,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Ada Boost Classifier,Ensemble Tree
0.7491,0.6818,0.4813,,0.5643,0.2961,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Logistic Regression,Linear
0.7473,0.6822,0.4706,,0.557,0.0,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Ridge Classifier,Linear
0.7509,0.6842,0.4866,,0.5688,0.2928,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Linear Discriminant Analysis,Linear
0.7708,0.7174,0.5294,,0.6092,0.3718,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Quadratic Discriminant Analysis,Probabilistic
0.7401,0.6387,0.5294,,0.5789,0.3521,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Gaussian Naive Bayes,Probabilistic
0.6877,0.5556,0.3743,0.0,0.4473,0.3502,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,K-Neighborg Classifier,Neighborg based
0.6625,0.0,0.0,,0.0,0.5014,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Support Vector Machine,Linear
0.6625,0.0,0.0,,0.0,0.5,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Dummy Classifier,Heuristic based
0.6931,0.5739,0.3529,,0.4371,0.39,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,MLP Classifier,Neural Networks
0.6354,0.4026,0.1658,,0.2348,0.5,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,Gaussian Process Classifier,Probabilistic
0.6679,0.5429,0.1016,1.0,0.1712,0.0,Healthcare-Diabetes.csv,Outlier,0.2,continue,DiabetesPedigreeFunction,SGD Classifier,Linear
0.9477,0.9341,0.9091,,0.9214,0.2738,Healthcare-Diabetes.csv,Outlier,0.4,continue,DiabetesPedigreeFunction,Extra Tree Classifier,Single Tree
0.9152,0.907,0.8342,,0.8691,0.2392,Healthcare-Diabetes.csv,Outlier,0.4,continue,DiabetesPedigreeFunction,Random Forest Classifier,Ensemble Tree
0.8953,0.8817,0.7968,,0.8371,0.2616,Healthcare-Diabetes.csv,Outlier,0.4,continue,DiabetesPedigreeFunction,Cat Boost Classifier,Ensemble Tree
0.9188,0.8989,0.8556,0.0,0.8767,0.5,Healthcare-Diabetes.csv,Outlier,0.4,continue,DiabetesPedigreeFunction,Decision Tree Classifier,Single Tree
0.8267,0.7898,0.6631,,0.7209,0.2875,Healthcare-Diabetes.csv,Outlier,0.4,continue,DiabetesPedigreeFunction,Gradient Boosting Classifier,Ensemble Tree
