acc,prec,rec,epc_at,f1,auc,datasetname,errtype,errperc,feattype,featname,modelname,modeltype
0.557,1.0,0.527,,0.6903,0.4405,student-mat-5.csv,Missing,0,categorical String,Fjob,Gaussian Naive Bayes,Probabilistic
0.9367,0.9367,1.0,,0.9673,0.5,student-mat-5.csv,Missing,0,categorical String,reason,Dummy Classifier,Heuristic based
0.9367,0.9367,1.0,,0.9673,0.8649,student-mat-5.csv,Missing,0,categorical String,reason,K-Neighborg Classifier,Neighborg based
0.9367,0.9367,1.0,,0.9673,0.0,student-mat-5.csv,Missing,0,categorical String,reason,SGD Classifier,Linear
0.9367,0.9367,1.0,,0.9673,0.7784,student-mat-5.csv,Missing,0,categorical String,guardian,Support Vector Machine,Linear
0.557,1.0,0.527,,0.6903,0.4405,student-mat-5.csv,Missing,0,categorical String,guardian,Gaussian Naive Bayes,Probabilistic
0.9367,0.9367,1.0,,0.9673,0.7784,student-mat-5.csv,Missing,0,categorical String,famsup,Support Vector Machine,Linear
0.9367,0.9367,1.0,,0.9673,0.8486,student-mat-5.csv,Missing,0,categorical String,famsup,Extra Tree Classifier,Single Tree
0.9367,0.96,0.973,,0.9664,0.7297,student-mat-5.csv,Missing,0,categorical String,famsup,Linear Discriminant Analysis,Linear
0.9367,0.9367,1.0,,0.9673,0.0,student-mat-5.csv,Missing,0,categorical String,paid,SGD Classifier,Linear
0.557,1.0,0.527,,0.6903,0.4405,student-mat-5.csv,Missing,0,categorical String,paid,Gaussian Naive Bayes,Probabilistic
0.9367,0.9367,1.0,,0.9673,0.7784,student-mat-5.csv,Missing,0,categorical String,activities,Support Vector Machine,Linear
0.9367,0.9367,1.0,,0.9673,0.8392,student-mat-5.csv,Missing,0,categorical String,activities,Cat Boost Classifier,Ensemble Tree
0.9367,0.9367,1.0,,0.9673,0.8392,student-mat-5.csv,Missing,0,categorical String,nursery,Cat Boost Classifier,Ensemble Tree
0.557,1.0,0.527,,0.6903,0.4405,student-mat-5.csv,Missing,0,categorical String,nursery,Gaussian Naive Bayes,Probabilistic
0.9367,0.9367,1.0,,0.9673,0.9243,student-mat-5.csv,Missing,0,categorical String,internet,MLP Classifier,Neural Networks
0.962,0.961,1.0,,0.9801,0.5,student-mat-5.csv,Missing,0,categorical String,internet,Gaussian Process Classifier,Probabilistic
0.9367,0.9367,1.0,,0.9673,0.0,student-mat-5.csv,Missing,0,categorical String,romantic,Ridge Classifier,Linear
0.9494,0.9605,0.9865,,0.9733,0.7378,student-mat-5.csv,Missing,0,categorical String,romantic,Logistic Regression,Linear
0.9494,0.9487,1.0,,0.9737,0.6797,student-mat-5.csv,Missing,0,categorical String,romantic,Gradient Boosting Classifier,Ensemble Tree
0.9367,0.9367,1.0,,0.9673,0.8392,student-mat-5.csv,DuplicatedAll,0,target,higher,Cat Boost Classifier,Ensemble Tree
0.9367,0.9367,1.0,,0.9673,0.5,student-mat-5.csv,DuplicatedAll,0,target,higher,Dummy Classifier,Heuristic based
0.7333,0.0,0.0,,0.0,0.5,transfusion.csv,NULL,0,,NULL,Dummy Classifier,Heuristic based
0.7867,1.0,0.2,,0.3333,0.2726,transfusion.csv,Missing,0,continue,Recency (months),Linear Discriminant Analysis,Linear
0.76,0.6,0.3,,0.4,0.4301,transfusion.csv,Missing,0,continue,Recency (months),Gaussian Naive Bayes,Probabilistic
0.76,0.5667,0.425,,0.4857,0.4025,transfusion.csv,Missing,0,continue,Recency (months),Random Forest Classifier,Ensemble Tree
0.7867,0.7,0.35,,0.4667,0.2961,transfusion.csv,Missing,0,continue,Frequency (times),Cat Boost Classifier,Ensemble Tree
0.7733,1.0,0.15,,0.2609,0.0,transfusion.csv,Missing,0,continue,Frequency (times),Ridge Classifier,Linear
0.76,0.6,0.3,,0.4,0.4301,transfusion.csv,Missing,0,continue,Frequency (times),Gaussian Naive Bayes,Probabilistic
0.72,0.4667,0.35,,0.4,0.412,transfusion.csv,Missing,0,continue,Frequency (times),Extra Tree Classifier,Single Tree
0.78,0.7059,0.3,,0.4211,0.3533,transfusion.csv,Missing,0,continue,Frequency (times),Ada Boost Classifier,Ensemble Tree
0.76,0.5667,0.425,,0.4857,0.4025,transfusion.csv,Missing,0,continue,Frequency (times),Random Forest Classifier,Ensemble Tree
0.68,0.3889,0.35,,0.3684,0.4543,transfusion.csv,Missing,0,continue,Frequency (times),Gaussian Process Classifier,Probabilistic
0.7667,0.8571,0.15,,0.2553,0.2715,transfusion.csv,Missing,0,continue,Monetary (c.c. blood),Logistic Regression,Linear
0.7867,1.0,0.2,,0.3333,0.2726,transfusion.csv,Missing,0,continue,Monetary (c.c. blood),Linear Discriminant Analysis,Linear
0.7733,1.0,0.15,,0.2609,0.0,transfusion.csv,Missing,0,continue,Monetary (c.c. blood),Ridge Classifier,Linear
0.7333,0.0,0.0,,0.0,0.5,transfusion.csv,Missing,0,continue,Monetary (c.c. blood),Dummy Classifier,Heuristic based
0.76,0.5667,0.425,,0.4857,0.4025,transfusion.csv,Missing,0,continue,Monetary (c.c. blood),Random Forest Classifier,Ensemble Tree
0.72,0.4667,0.35,,0.4,0.412,transfusion.csv,Missing,0,continue,Monetary (c.c. blood),Extra Tree Classifier,Single Tree
0.76,0.6,0.3,,0.4,0.4301,transfusion.csv,Missing,0,continue,Time (months),Gaussian Naive Bayes,Probabilistic
0.76,0.5667,0.425,,0.4857,0.4025,transfusion.csv,Missing,0,continue,Time (months),Random Forest Classifier,Ensemble Tree
0.72,0.4667,0.35,,0.4,0.412,transfusion.csv,Missing,0,continue,Time (months),Extra Tree Classifier,Single Tree
0.7267,0.4783,0.275,,0.3492,0.3699,transfusion.csv,Missing,0,continue,Time (months),K-Neighborg Classifier,Neighborg based
0.9367,0.9481,0.9865,,0.9669,0.5,student-mat-5.csv,Missing,0,categorical String,reason,Decision Tree Classifier,Single Tree
0.9367,0.9481,0.9865,,0.9669,0.5,student-mat-5.csv,Missing,0,categorical String,activities,Decision Tree Classifier,Single Tree
0.7333,0.0,0.0,,0.0,0.0,transfusion.csv,Missing,0,continue,Recency (months),SGD Classifier,Linear
0.78,0.7059,0.3,,0.4211,0.3533,transfusion.csv,DuplicatedAll,0,target,whether he/she donated blood in March 2007,Ada Boost Classifier,Ensemble Tree
0.76,0.5667,0.425,,0.4857,0.4025,transfusion.csv,DuplicatedAll,0,target,whether he/she donated blood in March 2007,Random Forest Classifier,Ensemble Tree
0.7333,0.5,0.425,,0.4595,0.516,transfusion.csv,DuplicatedAll,0,target,whether he/she donated blood in March 2007,Decision Tree Classifier,Single Tree
0.7333,0.0,0.0,,0.0,0.5601,transfusion.csv,Labels,0,target,whether he/she donated blood in March 2007,MLP Classifier,Neural Networks
0.7867,1.0,0.2,,0.3333,0.2726,transfusion.csv,Outlier,0,continue,Recency (months),Linear Discriminant Analysis,Linear
0.7267,0.4444,0.1,,0.1633,0.3949,transfusion.csv,Outlier,0,continue,Frequency (times),Support Vector Machine,Linear
0.68,0.3889,0.35,,0.3684,0.4543,transfusion.csv,Outlier,0,continue,Frequency (times),Gaussian Process Classifier,Probabilistic
0.72,0.4667,0.35,,0.4,0.412,transfusion.csv,Outlier,0,continue,Monetary (c.c. blood),Extra Tree Classifier,Single Tree
0.76,0.6,0.3,,0.4,0.4301,transfusion.csv,Outlier,0,continue,Time (months),Gaussian Naive Bayes,Probabilistic
0.7867,0.7,0.35,,0.4667,0.2961,transfusion.csv,Outlier,0,continue,Time (months),Cat Boost Classifier,Ensemble Tree
0.76,0.5667,0.425,,0.4857,0.4025,transfusion.csv,Outlier,0,continue,Time (months),Random Forest Classifier,Ensemble Tree
0.7867,1.0,0.2,,0.3333,0.2726,transfusion.csv,Noisy,0,continue,Recency (months),Linear Discriminant Analysis,Linear
0.76,0.5667,0.425,,0.4857,0.4025,transfusion.csv,Noisy,0,continue,Recency (months),Random Forest Classifier,Ensemble Tree
0.6867,0.4286,0.525,,0.4719,0.5,transfusion.csv,Noisy,0,continue,Frequency (times),Quadratic Discriminant Analysis,Probabilistic
0.7867,1.0,0.2,,0.3333,0.2726,transfusion.csv,Noisy,0,continue,Frequency (times),Linear Discriminant Analysis,Linear
0.7333,0.0,0.0,,0.0,0.5601,transfusion.csv,Noisy,0,continue,Frequency (times),MLP Classifier,Neural Networks
0.7867,0.7,0.35,,0.4667,0.2961,transfusion.csv,Noisy,0,continue,Monetary (c.c. blood),Cat Boost Classifier,Ensemble Tree
0.7333,0.0,0.0,,0.0,0.5,transfusion.csv,Noisy,0,continue,Time (months),Dummy Classifier,Heuristic based
0.7333,0.5,0.425,,0.4595,0.516,transfusion.csv,Noisy,0,continue,Time (months),Decision Tree Classifier,Single Tree
0.8598,0.8174,0.8041,,0.8107,0.3928,water_potability.csv,NULL,0,,NULL,Random Forest Classifier,Ensemble Tree
0.7942,0.7165,0.7429,,0.7295,0.5,water_potability.csv,NULL,0,,NULL,Decision Tree Classifier,Single Tree
0.6265,0.0,0.0,,0.0,0.0,water_potability.csv,Missing,0,continue,ph,SGD Classifier,Linear
0.7942,0.7165,0.7429,,0.7295,0.5,water_potability.csv,Missing,0,continue,Hardness,Decision Tree Classifier,Single Tree
0.6265,0.0,0.0,,0.0,0.5,water_potability.csv,Missing,0,continue,Hardness,Dummy Classifier,Heuristic based
0.8628,0.8189,0.8122,,0.8156,0.4167,water_potability.csv,Missing,0,continue,Solids,Linear Discriminant Analysis,Linear
0.6463,0.5274,0.5102,,0.5187,0.4487,water_potability.csv,Missing,0,continue,Solids,K-Neighborg Classifier,Neighborg based
0.6265,0.0,0.0,,0.0,0.5188,water_potability.csv,Missing,0,continue,Chloramines,Support Vector Machine,Linear
0.5229,0.4137,0.6653,,0.5102,0.5205,water_potability.csv,Missing,0,continue,Sulfate,MLP Classifier,Neural Networks
0.846,0.7903,0.8,,0.7951,0.4454,water_potability.csv,Missing,0,continue,Conductivity,Ada Boost Classifier,Ensemble Tree
0.5229,0.4137,0.6653,,0.5102,0.5205,water_potability.csv,Missing,0,continue,Conductivity,MLP Classifier,Neural Networks
0.6265,0.0,0.0,,0.0,0.5188,water_potability.csv,Missing,0,continue,Organic_carbon,Support Vector Machine,Linear
0.8628,0.8189,0.8122,,0.8156,0.4167,water_potability.csv,Missing,0,continue,Turbidity,Linear Discriminant Analysis,Linear
0.8476,0.8059,0.7796,,0.7925,0.3945,water_potability.csv,DuplicatedAll,0,target,Potability,Gradient Boosting Classifier,Ensemble Tree
0.6463,0.5274,0.5102,,0.5187,0.4487,water_potability.csv,DuplicatedAll,0,target,Potability,K-Neighborg Classifier,Neighborg based
0.846,0.7903,0.8,,0.7951,0.4454,water_potability.csv,Labels,0,target,Potability,Ada Boost Classifier,Ensemble Tree
0.6463,0.5274,0.5102,,0.5187,0.4487,water_potability.csv,Outlier,0,continue,Solids,K-Neighborg Classifier,Neighborg based
0.6265,0.0,0.0,,0.0,0.0,water_potability.csv,Outlier,0,continue,Chloramines,SGD Classifier,Linear
0.7942,0.7165,0.7429,,0.7295,0.5,water_potability.csv,Outlier,0,continue,Sulfate,Decision Tree Classifier,Single Tree
0.6311,0.5059,0.5265,,0.516,0.5,water_potability.csv,Outlier,0,continue,Sulfate,Gaussian Process Classifier,Probabilistic
0.5229,0.4137,0.6653,,0.5102,0.5205,water_potability.csv,Outlier,0,continue,Conductivity,MLP Classifier,Neural Networks
0.8476,0.8059,0.7796,,0.7925,0.3945,water_potability.csv,Outlier,0,continue,Organic_carbon,Gradient Boosting Classifier,Ensemble Tree
0.6265,0.0,0.0,,0.0,0.5188,water_potability.csv,Outlier,0,continue,Organic_carbon,Support Vector Machine,Linear
0.8537,0.8066,0.8,,0.8033,0.4106,water_potability.csv,Outlier,0,continue,Trihalomethanes,Logistic Regression,Linear
0.6265,0.0,0.0,,0.0,0.5188,water_potability.csv,Outlier,0,continue,Trihalomethanes,Support Vector Machine,Linear
0.5229,0.4137,0.6653,,0.5102,0.5205,water_potability.csv,Outlier,0,continue,Trihalomethanes,MLP Classifier,Neural Networks
0.7333,0.0,0.0,,0.0,0.0,transfusion.csv,Noisy,0,continue,Frequency (times),SGD Classifier,Linear
0.8598,0.8201,0.8,,0.8099,0.4187,water_potability.csv,Missing,0,continue,Hardness,Cat Boost Classifier,Ensemble Tree
0.8598,0.8201,0.8,,0.8099,0.4187,water_potability.csv,Missing,0,continue,Conductivity,Cat Boost Classifier,Ensemble Tree
0.8613,0.8182,0.8082,,0.8131,0.3935,water_potability.csv,Outlier,0,continue,ph,Gaussian Naive Bayes,Probabilistic
0.8521,0.8058,0.7959,,0.8008,0.3996,water_potability.csv,Outlier,0,continue,Solids,Quadratic Discriminant Analysis,Probabilistic
0.8628,0.8189,0.8122,,0.8156,0.0,water_potability.csv,Outlier,0,continue,Sulfate,Ridge Classifier,Linear
0.8598,0.8201,0.8,,0.8099,0.4187,water_potability.csv,Outlier,0,continue,Conductivity,Cat Boost Classifier,Ensemble Tree
0.8537,0.8197,0.7796,,0.7992,0.3977,water_potability.csv,Outlier,0,continue,Conductivity,Extra Tree Classifier,Single Tree
0.8628,0.8189,0.8122,,0.8156,0.0,water_potability.csv,Outlier,0,continue,Conductivity,Ridge Classifier,Linear
0.8613,0.8182,0.8082,,0.8131,0.3935,water_potability.csv,Outlier,0,continue,Organic_carbon,Gaussian Naive Bayes,Probabilistic
0.8537,0.8066,0.8,,0.8033,0.4106,water_potability.csv,Noisy,0,continue,ph,Logistic Regression,Linear
0.6463,0.5274,0.5102,,0.5187,0.4487,water_potability.csv,Noisy,0,continue,Hardness,K-Neighborg Classifier,Neighborg based
0.6265,0.0,0.0,,0.0,0.5,water_potability.csv,Noisy,0,continue,Hardness,Dummy Classifier,Heuristic based
0.8476,0.8059,0.7796,,0.7925,0.3945,water_potability.csv,Noisy,0,continue,Solids,Gradient Boosting Classifier,Ensemble Tree
0.6463,0.5274,0.5102,,0.5187,0.4487,water_potability.csv,Noisy,0,continue,Solids,K-Neighborg Classifier,Neighborg based
0.6265,0.0,0.0,,0.0,0.5188,water_potability.csv,Noisy,0,continue,Solids,Support Vector Machine,Linear
0.8537,0.8066,0.8,,0.8033,0.4106,water_potability.csv,Noisy,0,continue,Sulfate,Logistic Regression,Linear
0.6311,0.5059,0.5265,,0.516,0.5,water_potability.csv,Noisy,0,continue,Organic_carbon,Gaussian Process Classifier,Probabilistic
0.6265,0.0,0.0,,0.0,0.0,water_potability.csv,Noisy,0,continue,Organic_carbon,SGD Classifier,Linear
0.846,0.7903,0.8,,0.7951,0.4454,water_potability.csv,Noisy,0,continue,Trihalomethanes,Ada Boost Classifier,Ensemble Tree
0.8598,0.8174,0.8041,,0.8107,0.3928,water_potability.csv,Noisy,0,continue,Turbidity,Random Forest Classifier,Ensemble Tree
0.6265,0.0,0.0,,0.0,0.5188,water_potability.csv,Noisy,0,continue,Turbidity,Support Vector Machine,Linear
0.8613,0.8182,0.8082,,0.8131,0.3935,water_potability.csv,Noisy,0,continue,ph,Gaussian Naive Bayes,Probabilistic
0.8537,0.8197,0.7796,,0.7992,0.3977,water_potability.csv,Noisy,0,continue,ph,Extra Tree Classifier,Single Tree
0.8628,0.8189,0.8122,,0.8156,0.0,water_potability.csv,Noisy,0,continue,Hardness,Ridge Classifier,Linear
0.8613,0.8182,0.8082,,0.8131,0.3935,water_potability.csv,Noisy,0,continue,Solids,Gaussian Naive Bayes,Probabilistic
0.8521,0.8058,0.7959,,0.8008,0.3996,water_potability.csv,Noisy,0,continue,Sulfate,Quadratic Discriminant Analysis,Probabilistic
0.8537,0.8197,0.7796,,0.7992,0.3977,water_potability.csv,Noisy,0,continue,Conductivity,Extra Tree Classifier,Single Tree
0.8628,0.8189,0.8122,,0.8156,0.0,water_potability.csv,Noisy,0,continue,Organic_carbon,Ridge Classifier,Linear
0.8537,0.8197,0.7796,,0.7992,0.3977,water_potability.csv,Noisy,0,continue,Organic_carbon,Extra Tree Classifier,Single Tree
0.8521,0.8058,0.7959,,0.8008,0.3996,water_potability.csv,Noisy,0,continue,Turbidity,Quadratic Discriminant Analysis,Probabilistic
0.827,0.7832,0.8731,,0.8257,0.5811,age_predictions_cleaned-3.csv,NULL,0,,NULL,Random Forest Classifier,Ensemble Tree
0.7475,0.6719,0.9033,,0.7706,0.5772,age_predictions_cleaned-3.csv,NULL,0,,NULL,K-Neighborg Classifier,Neighborg based
0.6879,0.6572,0.7009,,0.6784,0.4992,age_predictions_cleaned-3.csv,NULL,0,,NULL,Logistic Regression,Linear
0.8496,0.8358,0.8459,,0.8408,0.6531,age_predictions_cleaned-3.csv,Missing,0,continue,BMXBMI,Support Vector Machine,Linear
0.8156,0.7753,0.855,,0.8132,0.493,age_predictions_cleaned-3.csv,Missing,0,continue,BMXBMI,Cat Boost Classifier,Ensemble Tree
0.8496,0.8358,0.8459,,0.8408,0.6531,age_predictions_cleaned-3.csv,Missing,0,continue,LBXIN,Support Vector Machine,Linear
0.7546,0.717,0.7885,,0.7511,0.5056,age_predictions_cleaned-3.csv,Missing,0,continue,LBXIN,Gradient Boosting Classifier,Ensemble Tree
0.6766,0.6722,0.6073,,0.6381,0.4203,age_predictions_cleaned-3.csv,Missing,0,continue,LBXIN,MLP Classifier,Neural Networks
0.8496,0.8358,0.8459,,0.8408,0.6531,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLU,Support Vector Machine,Linear
0.7262,0.6971,0.7372,,0.7166,0.4906,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLU,Ada Boost Classifier,Ensemble Tree
0.7475,0.6719,0.9033,,0.7706,0.5772,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLT,K-Neighborg Classifier,Neighborg based
0.7262,0.6971,0.7372,,0.7166,0.4906,age_predictions_cleaned-3.csv,Missing,0,continue,LBXGLT,Ada Boost Classifier,Ensemble Tree
0.7475,0.6719,0.9033,,0.7706,0.5772,age_predictions_cleaned-3.csv,Missing,0,continue,PAQ605,K-Neighborg Classifier,Neighborg based
0.6851,0.6562,0.6918,,0.6735,0.4951,age_predictions_cleaned-3.csv,Missing,0,continue,PAQ605,Linear Discriminant Analysis,Linear
0.6851,0.6562,0.6918,,0.6735,0.0,age_predictions_cleaned-3.csv,DuplicatedAll,0,target,age_group,Ridge Classifier,Linear
0.8567,0.8125,0.9033,,0.8555,0.6041,age_predictions_cleaned-3.csv,Labels,0,target,age_group,Extra Tree Classifier,Single Tree
0.6851,0.6562,0.6918,,0.6735,0.0,age_predictions_cleaned-3.csv,Labels,0,target,age_group,Ridge Classifier,Linear
0.6851,0.6562,0.6918,,0.6735,0.4951,age_predictions_cleaned-3.csv,Outlier,0,continue,BMXBMI,Linear Discriminant Analysis,Linear
0.7475,0.6719,0.9033,,0.7706,0.5772,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXIN,K-Neighborg Classifier,Neighborg based
0.7745,0.7402,0.8006,,0.7692,0.5,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLU,Decision Tree Classifier,Single Tree
0.7262,0.6971,0.7372,,0.7166,0.4906,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLU,Ada Boost Classifier,Ensemble Tree
0.8156,0.7753,0.855,,0.8132,0.493,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLT,Cat Boost Classifier,Ensemble Tree
0.7546,0.717,0.7885,,0.7511,0.5056,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLT,Gradient Boosting Classifier,Ensemble Tree
0.6851,0.6562,0.6918,,0.6735,0.0,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLT,Ridge Classifier,Linear
0.6766,0.6722,0.6073,,0.6381,0.4203,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLT,MLP Classifier,Neural Networks
0.6482,0.6,0.7523,,0.6676,0.5156,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLT,Gaussian Naive Bayes,Probabilistic
0.5348,0.5024,0.9486,,0.6569,0.0,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLT,SGD Classifier,Linear
0.4695,0.4695,1.0,,0.639,0.5,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLT,Dummy Classifier,Heuristic based
1.0,1.0,1.0,,1.0,0.5056,citrus.csv,NULL,0,,NULL,Gaussian Process Classifier,Probabilistic
0.514,1.0,0.0545,,0.1033,0.2961,citrus.csv,NULL,0,,NULL,Support Vector Machine,Linear
1.0,1.0,1.0,,1.0,0.5153,citrus.csv,Missing,0,continue,diameter,Extra Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5016,citrus.csv,Missing,0,continue,diameter,Quadratic Discriminant Analysis,Probabilistic
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Missing,0,continue,weight,Decision Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5266,citrus.csv,Missing,0,continue,weight,MLP Classifier,Neural Networks
1.0,1.0,1.0,,1.0,0.0,citrus.csv,Missing,0,continue,weight,Ridge Classifier,Linear
1.0,1.0,1.0,,1.0,0.5011,citrus.csv,Missing,0,discrete,red,Linear Discriminant Analysis,Linear
1.0,1.0,1.0,,1.0,0.7725,citrus.csv,Missing,0,discrete,green,Cat Boost Classifier,Ensemble Tree
0.946,0.9449,0.9504,,0.9476,0.4833,citrus.csv,Missing,0,discrete,green,Gaussian Naive Bayes,Probabilistic
0.514,1.0,0.0545,,0.1033,0.2961,citrus.csv,Missing,0,discrete,green,Support Vector Machine,Linear
1.0,1.0,1.0,,1.0,0.5153,citrus.csv,Missing,0,discrete,blue,Extra Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5266,citrus.csv,Missing,0,discrete,blue,MLP Classifier,Neural Networks
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Missing,0,discrete,blue,Decision Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5153,citrus.csv,DuplicatedAll,0,target,name,Extra Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5011,citrus.csv,DuplicatedAll,0,target,name,Linear Discriminant Analysis,Linear
0.486,0.0,0.0,,0.0,0.5,citrus.csv,DuplicatedAll,0,target,name,Dummy Classifier,Heuristic based
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Labels,0,target,name,Decision Tree Classifier,Single Tree
0.946,0.9449,0.9504,,0.9476,0.4833,citrus.csv,Outlier,0,continue,diameter,Gaussian Naive Bayes,Probabilistic
1.0,1.0,1.0,,1.0,0.5011,citrus.csv,Outlier,0,continue,weight,Linear Discriminant Analysis,Linear
1.0,1.0,1.0,,1.0,0.5153,citrus.csv,Outlier,0,discrete,red,Extra Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Outlier,0,discrete,red,Gradient Boosting Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.5011,citrus.csv,Outlier,0,discrete,red,Linear Discriminant Analysis,Linear
1.0,1.0,1.0,,1.0,0.5037,citrus.csv,Outlier,0,discrete,blue,Random Forest Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.0,citrus.csv,Outlier,0,discrete,blue,Ridge Classifier,Linear
1.0,1.0,1.0,,1.0,0.5011,citrus.csv,Outlier,0,discrete,blue,Linear Discriminant Analysis,Linear
0.486,0.0,0.0,,0.0,0.5,citrus.csv,Outlier,0,discrete,blue,Dummy Classifier,Heuristic based
1.0,1.0,1.0,,1.0,0.7725,citrus.csv,Noisy,0,discrete,red,Cat Boost Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Noisy,0,discrete,green,Decision Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5011,citrus.csv,Noisy,0,discrete,green,Linear Discriminant Analysis,Linear
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Noisy,0,discrete,blue,Decision Tree Classifier,Single Tree
1.0,1.0,1.0,,1.0,0.5037,citrus.csv,Noisy,0,continue,diameter,Random Forest Classifier,Ensemble Tree
1.0,1.0,1.0,,1.0,0.0,citrus.csv,Noisy,0,continue,diameter,Ridge Classifier,Linear
1.0,1.0,1.0,,1.0,0.5,citrus.csv,Noisy,0,continue,weight,K-Neighborg Classifier,Neighborg based
1.0,1.0,1.0,,1.0,0.5153,citrus.csv,Noisy,0,continue,weight,Extra Tree Classifier,Single Tree
0.8462,0.9104,0.8592,,0.8841,0.8124,diabetes_data_upload.csv,NULL,0,,NULL,MLP Classifier,Neural Networks
0.8654,0.9524,0.8451,,0.8955,0.767,diabetes_data_upload.csv,NULL,0,,NULL,Ada Boost Classifier,Ensemble Tree
0.9135,0.9844,0.8873,,0.9333,0.7582,diabetes_data_upload.csv,Missing,0,discrete,Age,Support Vector Machine,Linear
0.8462,0.9104,0.8592,,0.8841,0.8124,diabetes_data_upload.csv,Missing,0,discrete,Age,MLP Classifier,Neural Networks
0.8173,0.8824,0.8451,,0.8633,0.6455,diabetes_data_upload.csv,Missing,0,binary,Gender,Gaussian Naive Bayes,Probabilistic
0.6827,0.6827,1.0,,0.8114,0.5,diabetes_data_upload.csv,Missing,0,binary,Gender,Dummy Classifier,Heuristic based
0.8113,0.7335,0.9396,,0.8238,0.8365,age_predictions_cleaned-3.csv,Missing,0,continue,BMXBMI,Gaussian Process Classifier,Probabilistic
0.8113,0.7335,0.9396,,0.8238,0.8365,age_predictions_cleaned-3.csv,Missing,0,continue,LBXIN,Gaussian Process Classifier,Probabilistic
0.8113,0.7335,0.9396,,0.8238,0.8365,age_predictions_cleaned-3.csv,DuplicatedAll,0,target,age_group,Gaussian Process Classifier,Probabilistic
0.8113,0.7335,0.9396,,0.8238,0.8365,age_predictions_cleaned-3.csv,Labels,0,target,age_group,Gaussian Process Classifier,Probabilistic
0.6298,0.5754,0.8066,,0.6717,0.5174,age_predictions_cleaned-3.csv,Outlier,0,continue,BMXBMI,Quadratic Discriminant Analysis,Probabilistic
0.6298,0.5754,0.8066,,0.6717,0.5174,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXIN,Quadratic Discriminant Analysis,Probabilistic
0.6298,0.5754,0.8066,,0.6717,0.5174,age_predictions_cleaned-3.csv,Outlier,0,continue,LBXGLT,Quadratic Discriminant Analysis,Probabilistic
0.8173,0.9643,0.7606,,0.8504,0.4379,diabetes_data_upload.csv,NULL,0,,NULL,K-Neighborg Classifier,Neighborg based
0.8173,0.9643,0.7606,,0.8504,0.4379,diabetes_data_upload.csv,Missing,0,discrete,Age,K-Neighborg Classifier,Neighborg based
0.8077,0.9048,0.8028,,0.8507,0.0,diabetes_data_upload.csv,Missing,0,binary,Polyuria,Ridge Classifier,Linear
0.8173,0.8824,0.8451,,0.8633,0.6455,diabetes_data_upload.csv,Missing,0,binary,Polyuria,Gaussian Naive Bayes,Probabilistic
0.9135,0.9559,0.9155,,0.9353,0.6594,diabetes_data_upload.csv,Missing,0,binary,Polydipsia,Cat Boost Classifier,Ensemble Tree
0.9135,0.9844,0.8873,,0.9333,0.7582,diabetes_data_upload.csv,Missing,0,binary,Polydipsia,Support Vector Machine,Linear
0.8462,0.9104,0.8592,,0.8841,0.796,diabetes_data_upload.csv,Missing,0,binary,Polydipsia,Logistic Regression,Linear
0.9519,0.9583,0.9718,,0.965,0.4738,diabetes_data_upload.csv,Missing,0,binary,sudden weight loss,Extra Tree Classifier,Single Tree
0.9135,0.9844,0.8873,,0.9333,0.7582,diabetes_data_upload.csv,Missing,0,binary,weakness,Support Vector Machine,Linear
0.8654,0.9524,0.8451,,0.8955,0.767,diabetes_data_upload.csv,Missing,0,binary,weakness,Ada Boost Classifier,Ensemble Tree
0.9519,0.9583,0.9718,,0.965,0.4738,diabetes_data_upload.csv,Missing,0,binary,Polyphagia,Extra Tree Classifier,Single Tree
0.9231,0.9437,0.9437,,0.9437,0.7804,diabetes_data_upload.csv,Missing,0,binary,Polyphagia,Gradient Boosting Classifier,Ensemble Tree
